,depths,Eu_480.0,Ed_480.0,Eo_480.0,Eod_480.0,Eou_480.0,a_480.0,b_480.0,bb_480.0,Eu_540.0,Ed_540.0,Eo_540.0,Eod_540.0,Eou_540.0,a_540.0,b_540.0,bb_540.0,Eu_600.0,Ed_600.0,Eo_600.0,Eod_600.0,Eou_600.0,a_600.0,b_600.0,bb_600.0,g
91,0.9,0.0040428,0.006895,0.021736,0.01304,0.008696,0.12,350.0,0.735,0.0031655,0.0054586,0.017113,0.010302,0.0068111,0.15,350.0,0.735,0.0017301,0.0032474,0.0098274,0.0060675,0.0037599,0.25,350.0,0.735,0.99
92,0.91,0.0039634,0.0067898,0.021369,0.012837,0.0085319,0.12,350.0,0.735,0.0031038,0.0053714,0.016817,0.010135,0.0066824,0.15,350.0,0.735,0.0016921,0.0031851,0.0096293,0.00595,0.0036793,0.25,350.0,0.735,0.99
93,0.92,0.0038847,0.0066856,0.021005,0.012636,0.0083689,0.12,350.0,0.735,0.0030426,0.0052852,0.016525,0.0099697,0.0065549,0.15,350.0,0.735,0.0016547,0.0031239,0.0094342,0.0058344,0.0035998,0.25,350.0,0.735,0.99
94,0.93,0.0038065,0.0065825,0.020644,0.012437,0.008207,0.12,350.0,0.735,0.002982,0.0052001,0.016235,0.0098062,0.0064286,0.15,350.0,0.735,0.0016178,0.0030636,0.0092422,0.0057207,0.0035215,0.25,350.0,0.735,0.99
95,0.94,0.0037289,0.0064803,0.020285,0.012239,0.0080461,0.12,350.0,0.735,0.0029219,0.0051159,0.015948,0.0096447,0.0063034,0.15,350.0,0.735,0.0015814,0.0030044,0.0090531,0.0056089,0.0034442,0.25,350.0,0.735,0.99
96,0.95,0.0036519,0.0063791,0.019929,0.012043,0.0078861,0.12,350.0,0.735,0.0028624,0.0050327,0.015664,0.0094849,0.0061793,0.15,350.0,0.735,0.0015455,0.0029461,0.0088669,0.0054989,0.0033681,0.25,350.0,0.735,0.99
97,0.96,0.0035753,0.0062788,0.019576,0.011849,0.0077268,0.12,350.0,0.735,0.0028034,0.0049504,0.015383,0.0093268,0.0060562,0.15,350.0,0.735,0.0015101,0.0028888,0.0086834,0.0053906,0.0032929,0.25,350.0,0.735,0.99
98,0.97,0.0034991,0.0061794,0.019224,0.011656,0.007568,0.12,350.0,0.735,0.002745,0.0048691,0.015104,0.0091705,0.0059339,0.15,350.0,0.735,0.0014752,0.0028324,0.0085026,0.005284,0.0032186,0.25,350.0,0.735,0.99
99,0.98,0.0034234,0.0060809,0.018874,0.011465,0.0074093,0.12,350.0,0.735,0.002687,0.0047886,0.014828,0.0090157,0.0058122,0.15,350.0,0.735,0.0014408,0.0027769,0.0083241,0.005179,0.0031451,0.25,350.0,0.735,0.99
100,0.99,0.003348,0.005983,0.018524,0.011275,0.0072498,0.12,350.0,0.735,0.0026294,0.004709,0.014553,0.0088622,0.0056908,0.15,350.0,0.735,0.0014067,0.0027223,0.0081478,0.0050756,0.0030722,0.25,350.0,0.735,0.99
101,1.0,0.0032745,0.0058875,0.018176,0.011087,0.0070898,0.1,180.0,0.378,0.0025736,0.0046319,0.014284,0.0087126,0.0055711,0.1,180.0,0.378,0.0013739,0.0026697,0.0079763,0.0049755,0.0030008,0.15,180.0,0.378,0.99
