,depths,Eu_480.0,Ed_480.0,Eo_480.0,Eod_480.0,Eou_480.0,a_480.0,b_480.0,bb_480.0,Eu_540.0,Ed_540.0,Eo_540.0,Eod_540.0,Eou_540.0,a_540.0,b_540.0,bb_540.0,Eu_600.0,Ed_600.0,Eo_600.0,Eod_600.0,Eou_600.0,a_600.0,b_600.0,bb_600.0
229,2.2800000000000002,6.6058e-05,0.0017323,0.0025594,0.0023982,0.0001612,1.1,7.5,0.04815,0.00026988,0.0042265,0.0067611,0.0061207,0.00064037,0.75,7.5,0.04815,0.00012352,0.0024379,0.0037528,0.0034567,0.00029608,0.9,7.5,0.04815
230,2.29,6.5788e-05,0.0017041,0.0025184,0.0023587,0.00015975,1.1,7.5,0.04815,0.00026926,0.0041754,0.0066825,0.0060458,0.00063664,0.75,7.5,0.04815,0.00012317,0.002404,0.0037021,0.0034081,0.000294,0.9,7.5,0.04815
231,2.3000000000000003,6.5538e-05,0.0016764,0.0024782,0.0023199,0.00015835,1.1,7.5,0.04815,0.00026868,0.004125,0.0066049,0.0059719,0.00063302,0.75,7.5,0.04815,0.00012284,0.0023706,0.0036521,0.0033601,0.00029199,0.9,7.5,0.04815
232,2.31,6.5308e-05,0.0016491,0.0024387,0.0022817,0.000157,1.1,7.5,0.04815,0.00026815,0.0040753,0.0065284,0.0058989,0.00062952,0.75,7.5,0.04815,0.00012254,0.0023377,0.0036029,0.0033128,0.00029005,0.9,7.5,0.04815
233,2.32,6.5097e-05,0.0016223,0.0023999,0.0022442,0.0001557,1.1,7.5,0.04815,0.00026766,0.0040261,0.0064529,0.0058268,0.00062613,0.75,7.5,0.04815,0.00012228,0.0023052,0.0035544,0.0032663,0.00028817,0.9,7.5,0.04815
234,2.33,6.4907e-05,0.0015959,0.0023618,0.0022073,0.00015445,1.1,7.5,0.04815,0.00026722,0.0039775,0.0063785,0.0057556,0.00062285,0.75,7.5,0.04815,0.00012203,0.0022732,0.0035067,0.0032204,0.00028636,0.9,7.5,0.04815
235,2.34,6.4736e-05,0.0015699,0.0023243,0.0021711,0.00015324,1.1,7.5,0.04815,0.00026683,0.0039296,0.0063051,0.0056854,0.00061969,0.75,7.5,0.04815,0.00012182,0.0022416,0.0034598,0.0031751,0.00028462,0.9,7.5,0.04815
236,2.35,6.4585e-05,0.0015444,0.0022875,0.0021354,0.00015209,1.1,7.5,0.04815,0.00026648,0.0038822,0.0062326,0.005616,0.00061663,0.75,7.5,0.04815,0.00012163,0.0022105,0.0034135,0.0031306,0.00028295,0.9,7.5,0.04815
237,2.36,6.4453e-05,0.0015193,0.0022514,0.0021004,0.00015098,1.1,7.5,0.04815,0.00026617,0.0038355,0.0061612,0.0055475,0.00061369,0.75,7.5,0.04815,0.00012147,0.0021799,0.003368,0.0030866,0.00028134,0.9,7.5,0.04815
238,2.37,6.4342e-05,0.0014947,0.0022158,0.0020659,0.00014993,1.1,7.5,0.04815,0.00026591,0.0037893,0.0060908,0.0054799,0.00061086,0.75,7.5,0.04815,0.00012134,0.0021496,0.0033232,0.0030433,0.00027981,0.9,7.5,0.04815
