,depths,Eu_480.0,Ed_480.0,Eo_480.0,Eod_480.0,Eou_480.0,a_480.0,b_480.0,bb_480.0,Kd_480.0,g
208,2.07,0.00038035,0.003607,0.0073469,0.0061826,0.0011643,0.27,100.0,0.21,1.3352,0.99
209,2.08,0.00035168,0.0035588,0.007166,0.0060881,0.0010779,0.27,100.0,0.21,1.3604,0.99
210,2.09,0.00032218,0.0035102,0.0069712,0.0059904,0.00098081,0.27,100.0,0.21,1.3958,0.99
211,2.1,0.00029125,0.0034487,0.0066866,0.0058407,0.00084588,0.06,0.35,0.000735,0.1206,0.9
212,2.11,0.00029078,0.0034442,0.0066732,0.005829,0.00084421,0.06,0.35,0.008036,0.12882,0.9
213,2.12,0.00029027,0.0034397,0.0066597,0.0058174,0.00084231,0.06,0.35,0.008036,0.13258,0.9
214,2.13,0.00028976,0.0034352,0.0066463,0.0058059,0.00084045,0.06,0.35,0.008036,0.12799,0.9
215,2.14,0.00028925,0.0034307,0.0066332,0.0057946,0.0008386,0.06,0.35,0.008036,0.13127,0.9
216,2.15,0.00028875,0.0034262,0.0066202,0.0057834,0.00083678,0.06,0.35,0.008036,0.12799,0.9
217,2.16,0.00028825,0.0034218,0.0066073,0.0057723,0.00083498,0.06,0.35,0.008036,0.13222,0.9
218,2.17,0.00028776,0.0034173,0.0065946,0.0057614,0.0008332,0.06,0.35,0.008036,0.129,0.9
219,2.18,0.00028727,0.0034129,0.006582,0.0057505,0.00083144,0.06,0.35,0.008036,0.13216,0.9
220,2.19,0.00028678,0.0034084,0.0065695,0.0057398,0.0008297,0.06,0.35,0.008036,0.12942,0.9
221,2.2,0.00028629,0.003404,0.0065572,0.0057292,0.00082797,0.06,0.35,0.008036,0.13103,0.9
222,2.21,0.00028581,0.0033996,0.006545,0.0057187,0.00082626,0.06,0.35,0.008036,0.13043,0.9
223,2.22,0.00028532,0.0033951,0.0065329,0.0057083,0.00082457,0.06,0.35,0.008036,0.12978,0.9
224,2.23,0.00028484,0.0033908,0.0065209,0.005698,0.00082289,0.06,0.35,0.008036,0.13055,0.9
225,2.24,0.00028437,0.0033864,0.006509,0.0056877,0.00082123,0.06,0.35,0.008036,0.12894,0.9
226,2.25,0.00028389,0.003382,0.0064972,0.0056776,0.00081958,0.06,0.35,0.008036,0.13019,0.9
227,2.26,0.00028342,0.0033776,0.0064854,0.0056675,0.00081794,0.06,0.35,0.008036,0.13139,0.9
228,2.27,0.00028295,0.0033732,0.0064738,0.0056575,0.00081632,0.06,0.35,0.008036,0.12698,0.9
229,2.28,0.00028248,0.0033689,0.0064623,0.0056476,0.00081471,0.06,0.35,0.008036,0.12966,0.9
230,2.29,0.00028202,0.0033646,0.0064508,0.0056377,0.00081311,0.06,0.35,0.008036,0.13067,0.9
231,2.3,0.00028155,0.0033602,0.0064394,0.0056279,0.00081152,0.06,0.35,0.008036,0.13151,0.9
232,2.31,0.00028109,0.0033559,0.0064281,0.0056182,0.00080995,0.06,0.35,0.008036,0.12733,0.9
233,2.32,0.00028063,0.0033516,0.0064169,0.0056085,0.00080838,0.06,0.35,0.008036,0.1268,0.9
234,2.33,0.00028017,0.0033473,0.0064057,0.0055989,0.00080683,0.06,0.35,0.008036,0.13037,0.9
235,2.34,0.00027972,0.003343,0.0063946,0.0055894,0.00080529,0.06,0.35,0.008036,0.12936,0.9
236,2.35,0.00027926,0.0033387,0.0063836,0.0055799,0.00080375,0.06,0.35,0.008036,0.12954,0.9
237,2.36,0.00027881,0.0033344,0.0063726,0.0055704,0.00080223,0.06,0.35,0.008036,0.13061,0.9
238,2.37,0.00027836,0.0033301,0.0063617,0.005561,0.00080071,0.06,0.35,0.008036,0.12638,0.9
239,2.38,0.00027791,0.0033258,0.0063509,0.0055517,0.0007992,0.06,0.35,0.008036,0.1256,0.9
240,2.39,0.00027746,0.0033216,0.0063401,0.0055424,0.00079771,0.06,0.35,0.008036,0.1268,0.9
241,2.4,0.00027702,0.0033173,0.0063294,0.0055332,0.00079622,0.06,0.35,0.008036,0.1296,0.9
242,2.41,0.00027657,0.0033131,0.0063187,0.005524,0.00079474,0.06,0.35,0.008036,0.12996,0.9
243,2.42,0.00027613,0.0033089,0.0063081,0.0055148,0.00079326,0.06,0.35,0.008036,0.12823,0.9
244,2.43,0.00027569,0.0033046,0.0062975,0.0055057,0.0007918,0.06,0.35,0.008036,0.12858,0.9
245,2.44,0.00027525,0.0033004,0.006287,0.0054967,0.00079034,0.06,0.35,0.008036,0.13067,0.9
