,depths,Eu_480.0,Ed_480.0,Eo_480.0,Eod_480.0,Eou_480.0,a_480.0,b_480.0,bb_480.0,Eu_540.0,Ed_540.0,Eo_540.0,Eod_540.0,Eou_540.0,a_540.0,b_540.0,bb_540.0,Eu_600.0,Ed_600.0,Eo_600.0,Eod_600.0,Eou_600.0,a_600.0,b_600.0,bb_600.0,g
84,0.8300000000000001,0.013303,0.023799,0.074002,0.045018,0.028984,0.043,250.0,0.16,0.010234,0.01902,0.058268,0.035845,0.022423,0.065,250.0,0.16,0.0057291,0.011932,0.035031,0.022253,0.012778,0.133,250.0,0.16,999.0
85,0.84,0.013079,0.023543,0.073042,0.044514,0.028528,0.043,250.0,0.16,0.01005,0.018799,0.057459,0.035411,0.022047,0.065,250.0,0.16,0.0056066,0.011763,0.034449,0.021926,0.012523,0.133,250.0,0.16,999.0
86,0.85,0.012855,0.023288,0.072085,0.044011,0.028074,0.043,250.0,0.16,0.0098675,0.018579,0.056654,0.03498,0.021674,0.065,250.0,0.16,0.0054849,0.011596,0.033872,0.021602,0.01227,0.133,250.0,0.16,999.0
87,0.86,0.012632,0.023035,0.071132,0.043511,0.027621,0.043,250.0,0.16,0.0096854,0.01836,0.055853,0.034552,0.021301,0.065,250.0,0.16,0.0053639,0.01143,0.0333,0.021282,0.012019,0.133,250.0,0.16,999.0
88,0.87,0.01241,0.022782,0.070181,0.043012,0.027169,0.043,250.0,0.16,0.0095039,0.018143,0.055055,0.034125,0.02093,0.065,250.0,0.16,0.0052435,0.011266,0.032733,0.020964,0.011768,0.133,250.0,0.16,999.0
89,0.88,0.012188,0.02253,0.069233,0.042515,0.026718,0.043,250.0,0.16,0.009323,0.017926,0.054261,0.033701,0.02056,0.065,250.0,0.16,0.0051239,0.011103,0.032169,0.02065,0.01152,0.133,250.0,0.16,999.0
90,0.89,0.011966,0.022279,0.068288,0.04202,0.026268,0.043,250.0,0.16,0.0091426,0.017711,0.05347,0.033279,0.020191,0.065,250.0,0.16,0.0050048,0.010942,0.03161,0.020338,0.011272,0.133,250.0,0.16,999.0
91,0.9,0.011745,0.022028,0.067345,0.041527,0.025818,0.043,250.0,0.16,0.0089627,0.017497,0.052682,0.032859,0.019823,0.065,250.0,0.16,0.0048864,0.010782,0.031054,0.020029,0.011025,0.133,250.0,0.16,999.0
92,0.91,0.011524,0.021779,0.066405,0.041035,0.025369,0.043,250.0,0.16,0.0087834,0.017283,0.051896,0.032441,0.019455,0.065,250.0,0.16,0.0047685,0.010623,0.030502,0.019722,0.01078,0.133,250.0,0.16,999.0
93,0.92,0.011304,0.02153,0.065466,0.040545,0.024921,0.043,250.0,0.16,0.0086044,0.017071,0.051113,0.032024,0.019089,0.065,250.0,0.16,0.0046511,0.010465,0.029952,0.019417,0.010535,0.133,250.0,0.16,999.0
94,0.93,0.011084,0.021282,0.06453,0.040056,0.024473,0.043,250.0,0.16,0.0084259,0.016859,0.050332,0.03161,0.018722,0.065,250.0,0.16,0.0045342,0.010309,0.029406,0.019115,0.010291,0.133,250.0,0.16,999.0
95,0.9400000000000001,0.010864,0.021035,0.063594,0.039569,0.024025,0.043,250.0,0.16,0.0082478,0.016649,0.049553,0.031197,0.018356,0.065,250.0,0.16,0.0044177,0.010154,0.028861,0.018815,0.010047,0.133,250.0,0.16,999.0
96,0.9500000000000001,0.010645,0.020789,0.06266,0.039082,0.023578,0.043,250.0,0.16,0.00807,0.016439,0.048775,0.030785,0.01799,0.065,250.0,0.16,0.0043016,0.0099994,0.028319,0.018516,0.0098028,0.133,250.0,0.16,999.0
97,0.96,0.010426,0.020543,0.061726,0.038597,0.02313,0.043,250.0,0.16,0.0078925,0.01623,0.047998,0.030375,0.017624,0.065,250.0,0.16,0.0041858,0.0098463,0.027778,0.018219,0.0095583,0.133,250.0,0.16,999.0
98,0.97,0.010207,0.020298,0.060793,0.038112,0.02268,0.043,250.0,0.16,0.0077152,0.016022,0.047221,0.029965,0.017256,0.065,250.0,0.16,0.0040702,0.0096941,0.027236,0.017924,0.0093126,0.133,250.0,0.16,999.0
99,0.98,0.0099883,0.020053,0.059857,0.037628,0.022229,0.043,250.0,0.16,0.007538,0.015814,0.046442,0.029556,0.016886,0.065,250.0,0.16,0.0039547,0.0095428,0.026693,0.017629,0.0090644,0.133,250.0,0.16,999.0
100,0.99,0.0097694,0.019809,0.058918,0.037143,0.021774,0.043,250.0,0.16,0.0073607,0.015607,0.045658,0.029147,0.016512,0.065,250.0,0.16,0.003839,0.009392,0.026145,0.017334,0.0088112,0.133,250.0,0.16,999.0
101,1.0,0.0095566,0.01957,0.057988,0.036666,0.021322,0.043,110.0,0.0704,0.0071883,0.015405,0.044877,0.028742,0.016136,0.065,110.0,0.0704,0.0037264,0.0092443,0.025589,0.017039,0.0085506,0.133,110.0,0.0704,999.0
102,1.01,0.0094653,0.019454,0.057558,0.036428,0.021131,0.043,110.0,0.0704,0.007116,0.015303,0.044513,0.028532,0.015982,0.065,110.0,0.0704,0.0036816,0.0091657,0.025325,0.016874,0.0084508,0.133,110.0,0.0704,999.0
103,1.02,0.0093744,0.019339,0.057137,0.036195,0.020942,0.043,110.0,0.0704,0.0070441,0.015203,0.044159,0.028329,0.01583,0.065,110.0,0.0704,0.0036375,0.009088,0.025071,0.016717,0.0083536,0.133,110.0,0.0704,999.0
104,1.03,0.0092838,0.019224,0.05672,0.035965,0.020755,0.043,110.0,0.0704,0.0069727,0.015103,0.043809,0.028129,0.01568,0.065,110.0,0.0704,0.0035938,0.0090111,0.024822,0.016564,0.0082581,0.133,110.0,0.0704,999.0
